reviews,category
better off avoiding this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
deduct a hefty 50% of the ticket,['Ticket Booking & Pricing']
2really bad experience,['In-flight Experience']
i had a terrible experience,"['Brand Reputation', 'In-flight Experience']"
about 5-6 hours delayed,['Punctuality']
poor service,"['Staff Behaviour', 'In-flight Experience']"
a bad first experience,['In-flight Experience']
service throughout was excellent,"['Staff Behaviour', 'In-flight Experience']"
providing amazing in flight service,"['Staff Behaviour', 'In-flight Experience']"
one of the best experiences,['In-flight Experience']
disappointing service,"['Staff Behaviour', 'In-flight Experience']"
food was exquisite,"['Food & Beverages', 'In-flight Experience']"
rescheduled for a morning flight,"['Punctuality', 'Flight Cancellation']"
i am now delayed 24 hours,['Punctuality']
they did not proceed the refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
no communication or support from the ground staff,"['Staff Behaviour', 'Customer Service', 'Accessibility Needs']"
missed our connection flight,['Wi-Fi & Connectivity']
really bad service,"['Staff Behaviour', 'In-flight Experience']"
uncomfortable business class seat,"['Seat Comfort', 'In-flight Experience']"
it has managed to avoid paying,['Brand Reputation']
was one of my favourite airlines,"['Cabin Environment', 'Boarding Process']"
very positive experience,['In-flight Experience']
definitely avoid if you can,['Brand Reputation']
happy their service,"['Staff Behaviour', 'In-flight Experience']"
"worst airline ever, poor customer care","['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
pricier than budget airlines,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
advise avoiding this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
the worst travel experience,"['Brand Reputation', 'In-flight Experience']"
a positive experience,['In-flight Experience']
aircraft was in terrible shape,"['Cabin Environment', 'Aircraft Maintenance', 'Brand Reputation']"
definitely recommend this airline,"['Cabin Environment', 'Boarding Process']"
now starving in the plane,['Aircraft Maintenance']
"no meals, no inflight entertainment","['Food & Beverages', 'Inflight Entertainment', 'In-flight Experience']"
totally indifferent crew,"['Staff Behaviour', 'In-flight Experience']"
no problems with this airline,"['Cabin Environment', 'Boarding Process']"
great value budget airline,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
save your snack & fly on time,"['Food & Beverages', 'Punctuality']"
change departure time without notification,['Ticket Booking & Pricing']
changed the flight departure time,['Ticket Booking & Pricing']
seat pitch and width were a bit tight,['Seat Comfort']
mayhem to fly with this airline,"['Cabin Environment', 'Boarding Process']"
cabin crew were friendly,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
never book with this airline,"['Cabin Environment', 'Boarding Process']"
they changed the airline to egyptair,"['Cabin Environment', 'Ticket Booking & Pricing', 'Boarding Process']"
disappointing service experience,"['Staff Behaviour', 'In-flight Experience']"
i got value for money spent.,['Value for Money']
not offer vouchers or reimbursement,['Compensation & Refund']
horrible inhumane service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
can't dictate to me how much i drink,['Food & Beverages']
liable to pay compensation,['Compensation & Refund']
always had a good experience,['In-flight Experience']
sub standard inflight service,"['Staff Behaviour', 'In-flight Experience']"
delayed on both ends,['Punctuality']
told i would have to check my bag,['Aircraft Maintenance']
don’t allow early boarding with infants,['Boarding Process']
enjoyable flight experience,['In-flight Experience']
the food was all gone,"['Food & Beverages', 'In-flight Experience']"
do not recommend air caraibes,['Cabin Environment']
terrible how they treat their customers,['Brand Reputation']
the flight was ridiculously cheap,['Value for Money']
got only premium economy seats,['Seat Comfort']
try to avoid this terrible airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
extremely sketchy airline,"['Cabin Environment', 'Boarding Process']"
never fly air caraïbes again,['Cabin Environment']
the most uncomfortable flights,"['Seat Comfort', 'In-flight Experience']"
very bad service,"['Staff Behaviour', 'In-flight Experience']"
flight was very comfortable,"['Seat Comfort', 'In-flight Experience']"
food was wonderful,"['Food & Beverages', 'In-flight Experience']"
flight attendants were kind,['Staff Behaviour']
experience was appalling,['In-flight Experience']
the toilets were filthy,['Hygiene']
competence and excellent service,"['Staff Behaviour', 'In-flight Experience']"
value for money was 100%,['Value for Money']
handled my delayed bag terribly,['Punctuality']
extremely poor customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
there were no inflight service,"['Staff Behaviour', 'In-flight Experience']"
trying to receive compensation,['Compensation & Refund']
a great experience,['In-flight Experience']
a dreadful experience all the way,['In-flight Experience']
plane was in a good condition,['Aircraft Maintenance']
not a single flight on time,['Punctuality']
no time to transfer my luggage,['Baggage Policies']
stone faced and rather rude gate agents,['Staff Behaviour']
professional and friendly staff,['Staff Behaviour']
has been late quite a lot on my travels,['Punctuality']
only good at finding excuses for being late,['Punctuality']
never again with this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
professional pleasant crew,"['Staff Behaviour', 'In-flight Experience']"
luggage not present on arrival,['Baggage Policies']
incompetent and rude check-in agent,"['Staff Behaviour', 'Boarding Process']"
crew hardly ever left the galley,"['Staff Behaviour', 'In-flight Experience']"
one hour in a passport queue,['Boarding Process']
usual poor service,"['Staff Behaviour', 'In-flight Experience']"
recommend avoiding this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
this airline should be your last resort,"['Cabin Environment', 'Boarding Process']"
service has been gradually deteriorating,"['Staff Behaviour', 'In-flight Experience']"
requested flight cancellation compensation,"['Ticket Booking & Pricing', 'Flight Cancellation', 'Compensation & Refund']"
excellent customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
never fly air france again,['Cabin Environment']
the food was appalling,"['Food & Beverages', 'In-flight Experience']"
tedious experience generally,['In-flight Experience']
a wonderful experience,['In-flight Experience']
not a great experience,['In-flight Experience']
air france was nothing short of a disaster,['Cabin Environment']
expected to either be moved or refunded,"['Ticket Booking & Pricing', 'Compensation & Refund']"
air france is a nightmare!,['Cabin Environment']
both cases were damaged,['Baggage Policies']
they will not rebook/refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
way too expensive,['Value for Money']
bad customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
off-hand attitude among the staff,['Staff Behaviour']
i was told i had no seat,"['Seat Comfort', 'Aircraft Maintenance']"
a satisfactory experience,"['In-flight Experience', 'Miscellaneous']"
the worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
worst service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
broken seats with stained covers,"['Seat Comfort', 'Aircraft Maintenance']"
it was not a pleasant experience,['In-flight Experience']
wrongly charged for excess baggage,['Baggage Policies']
check in process was horrible,"['Brand Reputation', 'Boarding Process']"
the most terrible experience,"['Brand Reputation', 'In-flight Experience']"
the worst company ever,['Brand Reputation']
my baggage was missed,['Baggage Policies']
the worst service provider,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
charged extra for the seats,['Seat Comfort']
staff behaved very rudely,['Staff Behaviour']
staff is always unapologetic,['Staff Behaviour']
lost my check in baggage,['Baggage Policies']
lack of politeness and professionalism,['Staff Behaviour']
the most dreadful experience,['In-flight Experience']
staff is very kind and happy,['Staff Behaviour']
air dolomiti worked okay for us,"['Cabin Environment', 'Miscellaneous']"
wifi not free,['Wi-Fi & Connectivity']
very comfortable seats,"['Seat Comfort', 'In-flight Experience']"
not impressed with the staff nor the plane itself,"['Staff Behaviour', 'Aircraft Maintenance']"
worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
a 2nd rate unprofessional operation,['Staff Behaviour']
my refund is still in queue,"['Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
not received refund after 9 months,"['Ticket Booking & Pricing', 'Compensation & Refund']"
no refund after flight cancellation,"['Ticket Booking & Pricing', 'Flight Cancellation', 'Compensation & Refund']"
nothing has been refunded yet,"['Ticket Booking & Pricing', 'Compensation & Refund']"
the worst experiences of airlines,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
have never been refunded,"['Ticket Booking & Pricing', 'Compensation & Refund']"
still waiting for my refund,"['Punctuality', 'Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
cabin crew were friendly,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
impressed with the service throughout,"['Staff Behaviour', 'In-flight Experience']"
flight crew was helpful and friendly,"['Staff Behaviour', 'In-flight Experience']"
pleasantly surprised by air kbz,['Cabin Environment']
would fly air kbz again,['Cabin Environment']
clean classic aircraft,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
flights on time,['Punctuality']
food and drinks decent enough,"['Food & Beverages', 'In-flight Experience']"
hot/cold drinks and a hamburger,"['Food & Beverages', 'Cabin Environment', 'Aircraft Maintenance']"
the aircraft was clean,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
the food was acceptable,"['Food & Beverages', 'In-flight Experience']"
"crew are efficient, pleasant and helpful","['Staff Behaviour', 'In-flight Experience']"
service was perfectly passable,"['Staff Behaviour', 'In-flight Experience']"
try to avoid it in the future,['Brand Reputation']
provided same meals as economy class,['Food & Beverages']
had a great experience,['In-flight Experience']
the most unreliable airline,"['Cabin Environment', 'Boarding Process']"
attendants were a mix bag,['Staff Behaviour']
worse than a budget airline,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
the poor condition of the plane,['Aircraft Maintenance']
not very impressed with safety,"['Aircraft Maintenance', 'Security Concerns']"
worst airline i have used,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
doesn't have online check in,"['Wi-Fi & Connectivity', 'Boarding Process']"
information about delay was bad,['Punctuality']
friendly flight attendants,['Staff Behaviour']
operated by air tsaradia,['Cabin Environment']
forthcoming with meals and accommodation,"['Food & Beverages', 'Accessibility Needs']"
truly the worst airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
flights were on time,['Punctuality']
not even a hint of an apology from air malawi,['Cabin Environment']
a very pleasant airline that tries hard,"['Cabin Environment', 'Boarding Process']"
stay away from this airline,"['Cabin Environment', 'Boarding Process']"
worst airline experience ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
avoid this airline at all cost,"['Value for Money', 'Cabin Environment', 'Brand Reputation', 'Boarding Process']"
months of chasing we still don’t have the refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
crew were friendly and welcoming,"['Staff Behaviour', 'In-flight Experience']"
the experience was not good,['In-flight Experience']
we are entitled to compensation,['Compensation & Refund']
extra legroom reservation was not respected,"['Seat Comfort', 'Ticket Booking & Pricing']"
can’t access manage my booking,['Ticket Booking & Pricing']
experience i got was far from ideal,['In-flight Experience']
offered zero compensation,['Compensation & Refund']
no refund from expedia,"['Ticket Booking & Pricing', 'Compensation & Refund']"
flight attendants were very nice,['Staff Behaviour']
do not fly air mauritius,['Cabin Environment']
chaotic boarding process,['Boarding Process']
nice inflight service,"['Staff Behaviour', 'In-flight Experience']"
€70 penalty to take cash refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
they will never refund you,"['Ticket Booking & Pricing', 'Compensation & Refund']"
i had the worst experience,"['Brand Reputation', 'In-flight Experience']"
not possible to change booking,['Ticket Booking & Pricing']
thanks to the staff,['Staff Behaviour']
awful customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
waiting for the promised compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
crew were professional and friendly,"['Staff Behaviour', 'In-flight Experience']"
unprofessional and uncooperative,['Staff Behaviour']
absolutely useless airline,"['Cabin Environment', 'Boarding Process']"
never fly with this airline again,"['Cabin Environment', 'Boarding Process']"
happy with the overall experience,"['In-flight Experience', 'Miscellaneous']"
worst airline i have ever flown,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
a very pleasant flight experience,['In-flight Experience']
no privacy and very limited space,['Seat Comfort']
crew infantalize passengers,"['Staff Behaviour', 'In-flight Experience']"
ground service was frankly rubbish,"['Staff Behaviour', 'In-flight Experience']"
"good flight, nice crew","['Staff Behaviour', 'In-flight Experience']"
they can't find the payment,"['Ticket Booking & Pricing', 'Compensation & Refund']"
crew service was brilliant,"['Staff Behaviour', 'In-flight Experience']"
obscene baggage fees,['Baggage Policies']
worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
a disgrace of an airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
no communication on the delay,['Punctuality']
terrible to fly with,['Brand Reputation']
staff were amazing,['Staff Behaviour']
absolutely disgraceful service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
staff have no compassion,['Staff Behaviour']
delayed my plane by 36 hours,"['Punctuality', 'Aircraft Maintenance']"
airline was fantastic,"['Cabin Environment', 'Boarding Process']"
"on time, friendly staff","['Staff Behaviour', 'Punctuality']"
amazed by their services,"['Staff Behaviour', 'In-flight Experience']"
wonderful friendly airline,"['Cabin Environment', 'Boarding Process']"
air north yukon's airline customer review,"['Cabin Environment', 'Boarding Process']"
air north yukon's airline customer review,"['Cabin Environment', 'Boarding Process']"
very happy with their service,"['Staff Behaviour', 'In-flight Experience']"
punctual and comfortable,"['Seat Comfort', 'Punctuality', 'In-flight Experience']"
disappointed with air nostrum,['Cabin Environment']
very unpleasant experience,['In-flight Experience']
price to not show up for a flight,"['Value for Money', 'Ticket Booking & Pricing']"
my seat had been changed,"['Seat Comfort', 'Ticket Booking & Pricing']"
very kind cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
left me with a bad experience,['In-flight Experience']
a short flight and a good experience,['In-flight Experience']
staff of the airline were professional,"['Staff Behaviour', 'Cabin Environment', 'Boarding Process']"
never recommend such an airline,"['Cabin Environment', 'Boarding Process']"
air panama get the job don,['Cabin Environment']
airline is terrible,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
pleasant flight experience,['In-flight Experience']
absolutely the worst airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
pretty good for a budget airline,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
forced to change my travel date,['Ticket Booking & Pricing']
worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
amazing customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
the nerve to refuse compensation,['Compensation & Refund']
inflight entertainment is sparse,"['Inflight Entertainment', 'In-flight Experience']"
legroom is the biggest selling point,['Seat Comfort']
staff was young and energetic,['Staff Behaviour']
a pleasurable experience,['In-flight Experience']
airline is a great ambassador,"['Cabin Environment', 'Boarding Process']"
no wifi or on-board entertainment,"['Inflight Entertainment', 'Wi-Fi & Connectivity', 'In-flight Experience']"
luggage was appearing as unpaid,['Baggage Policies']
i do not recommend air serbia,['Cabin Environment']
never again!,['Brand Reputation']
worst flight of my life,['Brand Reputation']
no wifi onboard,['Wi-Fi & Connectivity']
very poor experience,['In-flight Experience']
the last time i use this airline,"['Cabin Environment', 'Boarding Process']"
really did a bad job of these meals,['Food & Beverages']
 my worst flight experience,"['Brand Reputation', 'In-flight Experience']"
had to reschedule my itinerary twice,"['Punctuality', 'Flight Cancellation']"
flight cramped and noisy,['Seat Comfort']
air seychelles is a catastrophe,['Cabin Environment']
air seychelles do not respond,['Cabin Environment']
absolutely disgraceful operation,['Brand Reputation']
worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
worst customer service ever,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
"crew great, friendly, and professional","['Staff Behaviour', 'In-flight Experience']"
the experience was awful,['In-flight Experience']
offered zero compensation,['Compensation & Refund']
please improve air tanzania,['Cabin Environment']
really bad to no service,"['Staff Behaviour', 'In-flight Experience']"
they did not refund me,"['Ticket Booking & Pricing', 'Compensation & Refund']"
don’t take air tanzania,['Cabin Environment']
no compensation or response,"['Customer Service', 'Compensation & Refund']"
most frustrating experience,['In-flight Experience']
disappointed with the luggage delay,"['Punctuality', 'Baggage Policies']"
train wreck of an airline,"['Cabin Environment', 'Boarding Process']"
recommend avoiding air tanzania,"['Cabin Environment', 'Brand Reputation']"
claiming we were 2 minutes too late,"['Punctuality', 'Compensation & Refund']"
insists that my carry-on is too big,['Baggage Policies']
experience disappointed me,['In-flight Experience']
fighting now for reimbursement,['Compensation & Refund']
flight attendants were very helpful,['Staff Behaviour']
highly recommend air vanuatu,['Cabin Environment']
cabin crew were full of smiles,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
1 accommodation day wasted,['Accessibility Needs']
customer service was dreadful,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
"promised a refund, never received","['Ticket Booking & Pricing', 'Compensation & Refund']"
customer service is horrendous!,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
a very bad experience,['In-flight Experience']
crew were very friendly,"['Staff Behaviour', 'In-flight Experience']"
a nasty surprise at harare airport,['Cabin Environment']
"hidden fees, constant delays",['Punctuality']
didn't replace the ticket,['Ticket Booking & Pricing']
check my bag in for being slightly overweight,['Baggage Policies']
splendid service given to me,"['Staff Behaviour', 'In-flight Experience']"
very exhausting experience,['In-flight Experience']
have never seen worse than this airline,"['Cabin Environment', 'Boarding Process']"
crew were welcoming,"['Staff Behaviour', 'In-flight Experience']"
amazing service and support,"['Staff Behaviour', 'Customer Service', 'Accessibility Needs', 'In-flight Experience']"
thumbs up to boarding crew,"['Staff Behaviour', 'Boarding Process', 'In-flight Experience']"
services were good,"['Staff Behaviour', 'In-flight Experience']"
thank entire staff of air asia,"['Staff Behaviour', 'Cabin Environment']"
hospitality and customer delight,['Staff Behaviour']
give my luggage bag for check-in,"['Baggage Policies', 'Boarding Process']"
do not recommend airasia,['Cabin Environment']
the worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
most unreliable airline,"['Cabin Environment', 'Boarding Process']"
lack of a way to contact customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
customer service was pretty bad,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
been delayed repeatedly,['Punctuality']
never fly with this airline again,"['Cabin Environment', 'Boarding Process']"
too late to reschedule my flight,"['Punctuality', 'Flight Cancellation']"
flight is delay for 20 hours,['Punctuality']
still no answers and no refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
refunds have not been received,"['Ticket Booking & Pricing', 'Compensation & Refund']"
told my visa for taiwan cannot be used,['Aircraft Maintenance']
thank you airasia,['Cabin Environment']
"no compensation, nothing",['Compensation & Refund']
happy with the service,"['Staff Behaviour', 'In-flight Experience']"
passenger comfort was basic,"['Seat Comfort', 'In-flight Experience']"
can have very cheap flights,['Value for Money']
a short but good airasia zest trip,['Cabin Environment']
the worst service is in riga airport,"['Staff Behaviour', 'Cabin Environment', 'Brand Reputation', 'In-flight Experience']"
big issue is their customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
shame on you airbaltic,"['Cabin Environment', 'Brand Reputation']"
experience on board was pretty nice,['In-flight Experience']
ticket prices are not high,"['Value for Money', 'Ticket Booking & Pricing']"
meal arrived completely cold,"['Food & Beverages', 'Cabin Environment', 'Aircraft Maintenance']"
overall was a lovely experience,['In-flight Experience']
denied our rightful claim,['Compensation & Refund']
unwilling to negotiate compensation,['Compensation & Refund']
their response was too rude,"['Staff Behaviour', 'Customer Service']"
great experience,['In-flight Experience']
cabin crew is helpful,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
flight with airblue was good,['Cabin Environment']
steer clear of airblue,['Cabin Environment']
avoid them like the plague,['Brand Reputation']
very bad experience,['In-flight Experience']
one of the worst experience,"['Brand Reputation', 'In-flight Experience']"
a shame of airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
excellent onboard service,"['Staff Behaviour', 'In-flight Experience']"
service throughout exceptional,"['Staff Behaviour', 'In-flight Experience']"
absolute rubbish service,"['Staff Behaviour', 'In-flight Experience']"
beware buying a fully refundable ticket,"['Ticket Booking & Pricing', 'Compensation & Refund']"
provided a good service,"['Staff Behaviour', 'In-flight Experience']"
excellent customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
cabin crew was really professional,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
awesome customer experience,['In-flight Experience']
airlink do so much right,['Cabin Environment']
two of our luggage’s were over 20kg,['Baggage Policies']
super impressed with this airline,"['Cabin Environment', 'Boarding Process']"
pick airlink at your own risk,"['Cabin Environment', 'Security Concerns']"
"nice flight, on time",['Punctuality']
cannot recommend this airline,"['Cabin Environment', 'Boarding Process']"
cabin crew was attentive and welcoming,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
horrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
horrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
these guys are terrible,['Brand Reputation']
cannot provide a consistently reliable service,"['Staff Behaviour', 'In-flight Experience']"
had the worst experience with air north,"['Cabin Environment', 'Brand Reputation', 'In-flight Experience']"
i am so impressed with air north,['Cabin Environment']
disgusting service,"['Staff Behaviour', 'In-flight Experience']"
unreliable and unprofessional service,"['Staff Behaviour', 'In-flight Experience']"
thank you for the great service,"['Staff Behaviour', 'In-flight Experience']"
hot and humid the whole flight,['Cabin Environment']
flight delayed was 3 hours,['Punctuality']
flight experience went well,['In-flight Experience']
airswift does not refund anything,"['Cabin Environment', 'Ticket Booking & Pricing', 'Compensation & Refund']"
unreliable and unprofessional,['Staff Behaviour']
gave no reason for cancellation,"['Ticket Booking & Pricing', 'Flight Cancellation']"
choose any other airline than airswift,"['Cabin Environment', 'Boarding Process']"
good service in flight,"['Staff Behaviour', 'In-flight Experience']"
put me and my wife in two separate seats,['Seat Comfort']
irresponsible airline,"['Cabin Environment', 'Boarding Process']"
worst catering i have had in 27 years,"['Food & Beverages', 'Brand Reputation']"
i lost my money,['Baggage Policies']
my experience was very smooth,['In-flight Experience']
way they handle passengers luggage,['Baggage Policies']
i do not recommend akasa air,['Cabin Environment']
good airline to fly with,"['Cabin Environment', 'Boarding Process']"
staff was very rude,['Staff Behaviour']
still money isn't refunded,"['Ticket Booking & Pricing', 'Compensation & Refund']"
unprofessional ground staff,['Staff Behaviour']
had a fabulous experience,['In-flight Experience']
offers food for advance purchase,"['Food & Beverages', 'In-flight Experience']"
customer service is among the worst,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
experience was incredibly disappointing,['In-flight Experience']
the staff were all unfriendly,['Staff Behaviour']
luggage was lost/delayed,"['Punctuality', 'Baggage Policies']"
the worst experience,"['Brand Reputation', 'In-flight Experience']"
crews are unhelpful,"['Staff Behaviour', 'In-flight Experience']"
worst experience ever,"['Brand Reputation', 'In-flight Experience']"
never fly this airline again,"['Cabin Environment', 'Boarding Process']"
"the plane was dirty, very dirty","['Hygiene', 'Aircraft Maintenance']"
horrible example to set as a company,['Brand Reputation']
no service at all,"['Staff Behaviour', 'In-flight Experience']"
"they are chaotic, rude",['Staff Behaviour']
worst customer service ever,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
