reviews,category
an excellent service,"['Staff Behaviour', 'In-flight Experience']"
simply not worth it,['Value for Money']
do not recommend at all,['Miscellaneous']
changing 3 letters cost 80eur,['Value for Money']
worst airline i experienced,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
they could smile a bit more,['Miscellaneous']
worst experience ever!,"['Brand Reputation', 'In-flight Experience']"
definitely the last time,['Miscellaneous']
no customer service to contact,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
worst cross-ocean flight i ever had,['Brand Reputation']
plane very dirty,"['Hygiene', 'Aircraft Maintenance']"
the most dirty airplane,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
flight attendants were all very friendly,['Staff Behaviour']
very bad service,"['Staff Behaviour', 'In-flight Experience']"
checked in luggage was lost,['Baggage Policies']
service onboard was excellent,"['Staff Behaviour', 'In-flight Experience']"
aircraft is old and dirty,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
my luggage did not come in,['Baggage Policies']
excellent flight,['Miscellaneous']
a very traumatic experience,['In-flight Experience']
constant maintenance issues,"['Hygiene', 'Aircraft Maintenance']"
this airline is disgusting,"['Cabin Environment', 'Boarding Process']"
pleasant and relaxed flight,['Miscellaneous']
first and last flight with air arabia,['Cabin Environment']
still waiting for delay compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
highly restrictive and unfair policy,"['Cabin Environment', 'Baggage Policies', 'Process & Policy']"
better off avoiding this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
deduct a hefty 50% of the ticket,['Ticket Booking & Pricing']
far behind that quality i enjoy,['Miscellaneous']
2really bad experience,['In-flight Experience']
i had a terrible experience,"['Brand Reputation', 'In-flight Experience']"
about 5-6 hours delayed,['Punctuality']
poor service,"['Staff Behaviour', 'In-flight Experience']"
a bad first experience,['In-flight Experience']
excellent flight,['Miscellaneous']
service throughout was excellent,"['Staff Behaviour', 'In-flight Experience']"
providing amazing in flight service,"['Staff Behaviour', 'In-flight Experience']"
encountered multiple issues,['Miscellaneous']
didn't use the first segment of the flight,['Miscellaneous']
one of the best experiences,['In-flight Experience']
disappointing service,"['Staff Behaviour', 'In-flight Experience']"
food was exquisite,"['Food & Beverages', 'In-flight Experience']"
rescheduled for a morning flight,"['Punctuality', 'Flight Cancellation']"
i am now delayed 24 hours,['Punctuality']
will never ever again book with them,['Miscellaneous']
rtpcr is required for children for age 5,['Miscellaneous']
they did not proceed the refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
no communication or support from the ground staff,"['Staff Behaviour', 'Customer Service', 'Accessibility Needs']"
thoroughly recommended,['Miscellaneous']
my flight was very unpleasant,['Miscellaneous']
leg room was not too bad,['Miscellaneous']
missed our connection flight,['Wi-Fi & Connectivity']
really bad service,"['Staff Behaviour', 'In-flight Experience']"
uncomfortable business class seat,"['Seat Comfort', 'In-flight Experience']"
it has managed to avoid paying,['Brand Reputation']
was one of my favourite airlines,"['Cabin Environment', 'Boarding Process']"
very positive experience,['In-flight Experience']
definitely avoid if you can,['Brand Reputation']
happy their service,"['Staff Behaviour', 'In-flight Experience']"
don't recommend it at all,['Miscellaneous']
"worst airline ever, poor customer care","['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
cheating their customers,['Miscellaneous']
pricier than budget airlines,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
not a good first impression,['Miscellaneous']
advise avoiding this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
consistent in letting down their passengers,['Miscellaneous']
the worst travel experience,"['Brand Reputation', 'In-flight Experience']"
not being truthful with us,['Miscellaneous']
they know what they are doing,['Miscellaneous']
a positive experience,['In-flight Experience']
aircraft was in terrible shape,"['Cabin Environment', 'Aircraft Maintenance', 'Brand Reputation']"
definitely recommend this airline,"['Cabin Environment', 'Boarding Process']"
now starving in the plane,['Aircraft Maintenance']
"no meals, no inflight entertainment","['Food & Beverages', 'Inflight Entertainment', 'In-flight Experience']"
totally indifferent crew,"['Staff Behaviour', 'In-flight Experience']"
closed the counter 90 min prior,['Miscellaneous']
no problems with this airline,"['Cabin Environment', 'Boarding Process']"
great value budget airline,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
efficient and excellent,['Miscellaneous']
was a disaster,['Miscellaneous']
they don't have aerobridge,['Miscellaneous']
save your snack & fly on time,"['Food & Beverages', 'Punctuality']"
change departure time without notification,['Ticket Booking & Pricing']
changed the flight departure time,['Ticket Booking & Pricing']
seat pitch and width were a bit tight,['Seat Comfort']
mayhem to fly with this airline,"['Cabin Environment', 'Boarding Process']"
cabin crew were friendly,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
never book with this airline,"['Cabin Environment', 'Boarding Process']"
all credit cards were rejected,['Miscellaneous']
they changed the airline to egyptair,"['Cabin Environment', 'Ticket Booking & Pricing', 'Boarding Process']"
"deception, lies and lack of communication",['Miscellaneous']
disappointing service experience,"['Staff Behaviour', 'In-flight Experience']"
i got value for money spent.,['Value for Money']
not offer vouchers or reimbursement,['Compensation & Refund']
horrible inhumane service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
will never fly with them again,['Miscellaneous']
cancelled the flight with no reason,['Miscellaneous']
can't dictate to me how much i drink,['Food & Beverages']
liable to pay compensation,['Compensation & Refund']
no help or options given,['Miscellaneous']
always had a good experience,['In-flight Experience']
showing if the bathroom is occupied,['Miscellaneous']
sub standard inflight service,"['Staff Behaviour', 'In-flight Experience']"
making you know you are in peasant class,['Miscellaneous']
delayed on both ends,['Punctuality']
"no information, no nothing",['Miscellaneous']
told i would have to check my bag,['Aircraft Maintenance']
unsatisfied with the level of courtesy,['Miscellaneous']
don’t allow early boarding with infants,['Boarding Process']
enjoyable flight experience,['In-flight Experience']
the food was all gone,"['Food & Beverages', 'In-flight Experience']"
do not recommend air caraibes,['Cabin Environment']
absolutely not recommended,['Miscellaneous']
use it by november 2020 or lose them,['Miscellaneous']
terrible how they treat their customers,['Brand Reputation']
the flight was ridiculously cheap,['Value for Money']
got only premium economy seats,['Seat Comfort']
try to avoid this terrible airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
extremely sketchy airline,"['Cabin Environment', 'Boarding Process']"
improvements can be made,['Miscellaneous']
never fly air caraïbes again,['Cabin Environment']
the most uncomfortable flights,"['Seat Comfort', 'In-flight Experience']"
very bad service,"['Staff Behaviour', 'In-flight Experience']"
flight was very comfortable,"['Seat Comfort', 'In-flight Experience']"
food was wonderful,"['Food & Beverages', 'In-flight Experience']"
flight attendants were kind,['Staff Behaviour']
experience was appalling,['In-flight Experience']
the toilets were filthy,['Hygiene']
i will never fly with them again,['Miscellaneous']
competence and excellent service,"['Staff Behaviour', 'In-flight Experience']"
value for money was 100%,['Value for Money']
handled my delayed bag terribly,['Punctuality']
extremely poor customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
there were no inflight service,"['Staff Behaviour', 'In-flight Experience']"
trying to receive compensation,['Compensation & Refund']
excellent all round,['Miscellaneous']
overall i was satisfied,['Miscellaneous']
don't expect much from this flight,['Miscellaneous']
assisting my wife and i,['Miscellaneous']
a great experience,['In-flight Experience']
a dreadful experience all the way,['In-flight Experience']
plane was in a good condition,['Aircraft Maintenance']
okay was our general impression,['Miscellaneous']
i sent incessant emails for 2 months,['Miscellaneous']
the flights are not bad,['Miscellaneous']
not a single flight on time,['Punctuality']
a to b and that's all,['Miscellaneous']
no time to transfer my luggage,['Baggage Policies']
stone faced and rather rude gate agents,['Staff Behaviour']
professional and friendly staff,['Staff Behaviour']
has been late quite a lot on my travels,['Punctuality']
only good at finding excuses for being late,['Punctuality']
never again with this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
professional pleasant crew,"['Staff Behaviour', 'In-flight Experience']"
luggage not present on arrival,['Baggage Policies']
incompetent and rude check-in agent,"['Staff Behaviour', 'Boarding Process']"
crew hardly ever left the galley,"['Staff Behaviour', 'In-flight Experience']"
completely getting the runaround,['Miscellaneous']
one hour in a passport queue,['Boarding Process']
usual poor service,"['Staff Behaviour', 'In-flight Experience']"
recommend avoiding this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
this airline should be your last resort,"['Cabin Environment', 'Boarding Process']"
service has been gradually deteriorating,"['Staff Behaviour', 'In-flight Experience']"
requested flight cancellation compensation,"['Ticket Booking & Pricing', 'Flight Cancellation', 'Compensation & Refund']"
excellent customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
never fly air france again,['Cabin Environment']
the food was appalling,"['Food & Beverages', 'In-flight Experience']"
tedious experience generally,['In-flight Experience']
a wonderful experience,['In-flight Experience']
not a great experience,['In-flight Experience']
air france was nothing short of a disaster,['Cabin Environment']
expected to either be moved or refunded,"['Ticket Booking & Pricing', 'Compensation & Refund']"
air france is a nightmare!,['Cabin Environment']
both cases were damaged,['Baggage Policies']
would fly again,['Miscellaneous']
never travel with them again,['Miscellaneous']
they will not rebook/refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
way too expensive,['Value for Money']
bad customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
off-hand attitude among the staff,['Staff Behaviour']
i was told i had no seat,"['Seat Comfort', 'Aircraft Maintenance']"
a satisfactory experience,"['In-flight Experience', 'Miscellaneous']"
the worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
absolutely wonderful flight,['Miscellaneous']
really enjoyed the flight,['Miscellaneous']
worst service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
broken seats with stained covers,"['Seat Comfort', 'Aircraft Maintenance']"
can’t carry more than 15 kg,['Miscellaneous']
it was not a pleasant experience,['In-flight Experience']
failing miserably,['Miscellaneous']
wrongly charged for excess baggage,['Baggage Policies']
nowhere near world class,['Miscellaneous']
check in process was horrible,"['Brand Reputation', 'Boarding Process']"
the most terrible experience,"['Brand Reputation', 'In-flight Experience']"
the worst company ever,['Brand Reputation']
not accountable for any damage,['Miscellaneous']
my baggage was missed,['Baggage Policies']
the worst service provider,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
no provisions for transfer passengers,['Miscellaneous']
charged extra for the seats,['Seat Comfort']
staff behaved very rudely,['Staff Behaviour']
staff is always unapologetic,['Staff Behaviour']
lost my check in baggage,['Baggage Policies']
lack of politeness and professionalism,['Staff Behaviour']
the most dreadful experience,['In-flight Experience']
staff is very kind and happy,['Staff Behaviour']
air dolomiti worked okay for us,"['Cabin Environment', 'Miscellaneous']"
wifi not free,['Wi-Fi & Connectivity']
very comfortable seats,"['Seat Comfort', 'In-flight Experience']"
my bag never showed up,['Miscellaneous']
not impressed with the staff nor the plane itself,"['Staff Behaviour', 'Aircraft Maintenance']"
worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
a 2nd rate unprofessional operation,['Staff Behaviour']
i literally was trapped,['Miscellaneous']
smooth and very pleasant,['Miscellaneous']
my refund is still in queue,"['Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
not received refund after 9 months,"['Ticket Booking & Pricing', 'Compensation & Refund']"
they stopped replying to my follow up e-mails,['Miscellaneous']
no refund after flight cancellation,"['Ticket Booking & Pricing', 'Flight Cancellation', 'Compensation & Refund']"
cheated out of their money,['Miscellaneous']
nothing has been refunded yet,"['Ticket Booking & Pricing', 'Compensation & Refund']"
the worst experiences of airlines,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
have never been refunded,"['Ticket Booking & Pricing', 'Compensation & Refund']"
stopped replying to my emails,['Miscellaneous']
still waiting for my refund,"['Punctuality', 'Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
way better than we expected,['Miscellaneous']
cabin crew were friendly,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
really good flight,['Miscellaneous']
another very good flight,['Miscellaneous']
impressed with the service throughout,"['Staff Behaviour', 'In-flight Experience']"
flight crew was helpful and friendly,"['Staff Behaviour', 'In-flight Experience']"
pleasantly surprised by air kbz,['Cabin Environment']
professional and pleasant,['Miscellaneous']
would fly air kbz again,['Cabin Environment']
clean classic aircraft,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
a normal standard,['Miscellaneous']
flights on time,['Punctuality']
food and drinks decent enough,"['Food & Beverages', 'In-flight Experience']"
hot/cold drinks and a hamburger,"['Food & Beverages', 'Cabin Environment', 'Aircraft Maintenance']"
the aircraft was clean,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
the food was acceptable,"['Food & Beverages', 'In-flight Experience']"
"crew are efficient, pleasant and helpful","['Staff Behaviour', 'In-flight Experience']"
service was perfectly passable,"['Staff Behaviour', 'In-flight Experience']"
burger was quite tasty,['Miscellaneous']
try to avoid it in the future,['Brand Reputation']
provided same meals as economy class,['Food & Beverages']
had a great experience,['In-flight Experience']
the most unreliable airline,"['Cabin Environment', 'Boarding Process']"
attendants were a mix bag,['Staff Behaviour']
worse than a budget airline,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
the poor condition of the plane,['Aircraft Maintenance']
highly not recommended,['Miscellaneous']
not very impressed with safety,"['Aircraft Maintenance', 'Security Concerns']"
a zero rating if we could,['Miscellaneous']
worst airline i have used,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
doesn't have online check in,"['Wi-Fi & Connectivity', 'Boarding Process']"
information about delay was bad,['Punctuality']
friendly flight attendants,['Staff Behaviour']
operated by air tsaradia,['Cabin Environment']
forthcoming with meals and accommodation,"['Food & Beverages', 'Accessibility Needs']"
truly the worst airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
cancelled without notice,['Miscellaneous']
flights were on time,['Punctuality']
you guys are really incredible,['Miscellaneous']
not even a hint of an apology from air malawi,['Cabin Environment']
a very pleasant airline that tries hard,"['Cabin Environment', 'Boarding Process']"
stay away from this airline,"['Cabin Environment', 'Boarding Process']"
worst airline experience ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
avoid this airline at all cost,"['Value for Money', 'Cabin Environment', 'Brand Reputation', 'Boarding Process']"
months of chasing we still don’t have the refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
crew were friendly and welcoming,"['Staff Behaviour', 'In-flight Experience']"
the experience was not good,['In-flight Experience']
my bag was confiscated,['Miscellaneous']
we are entitled to compensation,['Compensation & Refund']
extra legroom reservation was not respected,"['Seat Comfort', 'Ticket Booking & Pricing']"
save your time and money,['Miscellaneous']
can’t access manage my booking,['Ticket Booking & Pricing']
experience i got was far from ideal,['In-flight Experience']
offered zero compensation,['Compensation & Refund']
no refund from expedia,"['Ticket Booking & Pricing', 'Compensation & Refund']"
flight attendants were very nice,['Staff Behaviour']
do not fly air mauritius,['Cabin Environment']
chaotic boarding process,['Boarding Process']
i would use again,['Miscellaneous']
a solid mid range business product,['Miscellaneous']
slept well on lie flat,['Miscellaneous']
nice inflight service,"['Staff Behaviour', 'In-flight Experience']"
cancelled the flight with 4 days notice,['Miscellaneous']
€70 penalty to take cash refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
decided not to let me board,['Miscellaneous']
they will never refund you,"['Ticket Booking & Pricing', 'Compensation & Refund']"
i will never book them again,['Miscellaneous']
i had the worst experience,"['Brand Reputation', 'In-flight Experience']"
not possible to change booking,['Ticket Booking & Pricing']
thanks to the staff,['Staff Behaviour']
awful customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
the problem was solved within minutes,['Miscellaneous']
onboard it was a real joke,['Miscellaneous']
waiting for the promised compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
crew were professional and friendly,"['Staff Behaviour', 'In-flight Experience']"
unprofessional and uncooperative,['Staff Behaviour']
absolutely useless airline,"['Cabin Environment', 'Boarding Process']"
make abuse of the coronavirus,['Miscellaneous']
never fly with this airline again,"['Cabin Environment', 'Boarding Process']"
won’t recommend it to anyone,['Miscellaneous']
happy with the overall experience,"['In-flight Experience', 'Miscellaneous']"
not business class standard,['Miscellaneous']
excellent from start to finish,['Miscellaneous']
worst airline i have ever flown,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
incredibly inefficient,['Miscellaneous']
a very pleasant flight experience,['In-flight Experience']
no privacy and very limited space,['Seat Comfort']
i would not recommend them,['Miscellaneous']
crew infantalize passengers,"['Staff Behaviour', 'In-flight Experience']"
a decent enough job,['Miscellaneous']
quick and easy flight,['Miscellaneous']
ground service was frankly rubbish,"['Staff Behaviour', 'In-flight Experience']"
"good flight, nice crew","['Staff Behaviour', 'In-flight Experience']"
they can't find the payment,"['Ticket Booking & Pricing', 'Compensation & Refund']"
crew service was brilliant,"['Staff Behaviour', 'In-flight Experience']"
lack of care for their customers,['Miscellaneous']
obscene baggage fees,['Baggage Policies']
worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
a disgrace of an airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
no communication on the delay,['Punctuality']
terrible to fly with,['Brand Reputation']
this company is totally unreliable,['Miscellaneous']
staff were amazing,['Staff Behaviour']
absolutely disgraceful service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
staff have no compassion,['Staff Behaviour']
delayed my plane by 36 hours,"['Punctuality', 'Aircraft Maintenance']"
airline was fantastic,"['Cabin Environment', 'Boarding Process']"
"on time, friendly staff","['Staff Behaviour', 'Punctuality']"
i really enjoyed flying with them,['Miscellaneous']
amazed by their services,"['Staff Behaviour', 'In-flight Experience']"
wonderful friendly airline,"['Cabin Environment', 'Boarding Process']"
air north yukon's airline customer review,"['Cabin Environment', 'Boarding Process']"
air north yukon's airline customer review,"['Cabin Environment', 'Boarding Process']"
had to spend a night in madrid,['Miscellaneous']
very happy with their service,"['Staff Behaviour', 'In-flight Experience']"
punctual and comfortable,"['Seat Comfort', 'Punctuality', 'In-flight Experience']"
disappointed with air nostrum,['Cabin Environment']
very unpleasant experience,['In-flight Experience']
price to not show up for a flight,"['Value for Money', 'Ticket Booking & Pricing']"
highly recommended,['Miscellaneous']
my seat had been changed,"['Seat Comfort', 'Ticket Booking & Pricing']"
leaves much to be desired,['Miscellaneous']
very kind cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
left me with a bad experience,['In-flight Experience']
a short flight and a good experience,['In-flight Experience']
staff of the airline were professional,"['Staff Behaviour', 'Cabin Environment', 'Boarding Process']"
never recommend such an airline,"['Cabin Environment', 'Boarding Process']"
placed me on imaginary waitlist,['Miscellaneous']
air panama get the job don,['Cabin Environment']
we really enjoyed this flight,['Miscellaneous']
airline is terrible,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
pleasant flight experience,['In-flight Experience']
absolutely the worst airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
pretty good for a budget airline,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
forced to change my travel date,['Ticket Booking & Pricing']
worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
amazing customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
the nerve to refuse compensation,['Compensation & Refund']
inflight entertainment is sparse,"['Inflight Entertainment', 'In-flight Experience']"
legroom is the biggest selling point,['Seat Comfort']
staff was young and energetic,['Staff Behaviour']
very pleasant and efficient,['Miscellaneous']
a pleasurable experience,['In-flight Experience']
airline is a great ambassador,"['Cabin Environment', 'Boarding Process']"
no wifi or on-board entertainment,"['Inflight Entertainment', 'Wi-Fi & Connectivity', 'In-flight Experience']"
no communication or information,['Miscellaneous']
they couldn't care less,['Miscellaneous']
luggage was appearing as unpaid,['Baggage Policies']
i do not recommend air serbia,['Cabin Environment']
outrageous and disrespectful.,['Miscellaneous']
never again!,['Brand Reputation']
overall great flight,['Miscellaneous']
worst flight of my life,['Brand Reputation']
no wifi onboard,['Wi-Fi & Connectivity']
very friendly and professional,['Miscellaneous']
very poor experience,['In-flight Experience']
absolutely awful across the board,['Miscellaneous']
the last time i use this airline,"['Cabin Environment', 'Boarding Process']"
really did a bad job of these meals,['Food & Beverages']
 my worst flight experience,"['Brand Reputation', 'In-flight Experience']"
we are truly grateful,['Miscellaneous']
had to reschedule my itinerary twice,"['Punctuality', 'Flight Cancellation']"
flight cramped and noisy,['Seat Comfort']
air seychelles is a catastrophe,['Cabin Environment']
air seychelles do not respond,['Cabin Environment']
definitely recommend them,['Miscellaneous']
absolutely disgraceful operation,['Brand Reputation']
worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
worst customer service ever,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
no one cares,['Miscellaneous']
"crew great, friendly, and professional","['Staff Behaviour', 'In-flight Experience']"
the experience was awful,['In-flight Experience']
offered zero compensation,['Compensation & Refund']
purposeful misinformation,['Miscellaneous']
absolutely ridiculous!,['Miscellaneous']
almost killed our two dogs and our cat,['Miscellaneous']
please improve air tanzania,['Cabin Environment']
really bad to no service,"['Staff Behaviour', 'In-flight Experience']"
they did not refund me,"['Ticket Booking & Pricing', 'Compensation & Refund']"
don’t take air tanzania,['Cabin Environment']
no compensation or response,"['Customer Service', 'Compensation & Refund']"
most frustrating experience,['In-flight Experience']
disappointed with the luggage delay,"['Punctuality', 'Baggage Policies']"
train wreck of an airline,"['Cabin Environment', 'Boarding Process']"
recommend avoiding air tanzania,"['Cabin Environment', 'Brand Reputation']"
claiming we were 2 minutes too late,"['Punctuality', 'Compensation & Refund']"
insists that my carry-on is too big,['Baggage Policies']
insisting i check it in,['Miscellaneous']
deserved to be treated better,['Miscellaneous']
experience disappointed me,['In-flight Experience']
stranded us for 15+ hours,['Miscellaneous']
return flights were uneventful,['Miscellaneous']
much better than expected,['Miscellaneous']
fighting now for reimbursement,['Compensation & Refund']
flight attendants were very helpful,['Staff Behaviour']
highly recommend air vanuatu,['Cabin Environment']
cabin crew were full of smiles,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
very disappointing!,['Miscellaneous']
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
1 accommodation day wasted,['Accessibility Needs']
customer service was dreadful,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
"promised a refund, never received","['Ticket Booking & Pricing', 'Compensation & Refund']"
customer service is horrendous!,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
hurts vanuatu’s tourist industry,['Miscellaneous']
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
departure times cannot be relied,['Miscellaneous']
communication wasn’t great,['Miscellaneous']
a very bad experience,['In-flight Experience']
crew were very friendly,"['Staff Behaviour', 'In-flight Experience']"
a nasty surprise at harare airport,['Cabin Environment']
"hidden fees, constant delays",['Punctuality']
didn't replace the ticket,['Ticket Booking & Pricing']
used for flights to or from malaysia,['Miscellaneous']
annoying song played repeatedly.,['Miscellaneous']
check my bag in for being slightly overweight,['Baggage Policies']
splendid service given to me,"['Staff Behaviour', 'In-flight Experience']"
you get what you pay for,['Miscellaneous']
very exhausting experience,['In-flight Experience']
have never seen worse than this airline,"['Cabin Environment', 'Boarding Process']"
asked me to check in my stroller,['Miscellaneous']
